MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.07;SET;tokenJaccardNormalized;0.05;1558752911;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenJaccardNormalized;0.06;SET;tokenJaccardNormalized;0.06;1391573992;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.12;SET;cosineTokenNormalizedNormalizedTermFrequency;0.07;1370163677;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.07;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.08;1384624076;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenDiceNormalized;0.08;1553919377;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;tokenDiceNormalized;0.1;1709364154;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.08;SET;tokenDiceNormalized;0.08;1381091316;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;cosineTokenNormalizedNormalizedTermFrequency;0.08;1615775727;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;cosineTokenNormalizedBool;0.1;1555537132;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenJaccardNormalized;0.06;SET;cosineTokenNormalizedNormalizedTermFrequency;0.07;1394560087;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.09;SET;cosineTokenNormalizedNormalizedTermFrequency;0.07;1369210046;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.08;1366883597;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenJaccardNormalized;0.06;SET;tokenDiceNormalized;0.09;1405481387;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.09;SET;tokenJaccardNormalized;0.06;1429191813;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.08;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;tokenDiceNormalized;0.12;1551221417;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.08;SET;cosineTokenNormalizedNormalizedTermFrequency;0.08;1367733342;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.05;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;tokenDiceNormalized;0.11;1548495163;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.1;SET;cosineTokenNormalizedNormalizedTermFrequency;0.07;1383140717;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.08;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.08;SET;tokenJaccardNormalized;0.06;1361508412;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.07;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.08;SET;tokenJaccardNormalized;0.05;1564177936;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenDiceNormalized;0.12;1555312958;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.07;SET;tokenDiceNormalized;0.11;1554136605;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;1553467247;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenJaccardNormalized;0.05;SET;tokenDiceNormalized;0.11;1472076481;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.11;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;1362578162;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenJaccardNormalized;0.05;SET;tokenDiceNormalized;0.12;1452197426;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineThreeGramNormalizedBool;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.11;SET;tokenDiceNormalized;0.1;1881752532;0.9314186753480351;0.936576980568012;0.9339942669000277;0.9904655075715086;0.9600973423980221;0.9505943365918583;0.9553340233972901;0.9925742574257427;100;308;2703;9948;1406;5376;883;142;9;8;0;0.9899103139013453;0.9910213243546577;0.9466666666666667;0.9403973509933775;0.0;1297;4572;802;155;5;7;0;0.9938042131350682;0.9913473423980222;0.9567901234567902;0.96875;0.0
SET;fiveGramDice;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenDiceNormalized;0.11;SET;tokenJaccardNormalized;0.05;1377459669;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.07;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.12;SET;tokenDiceNormalized;0.09;1363781971;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;PROFILE;cosineTokenNormalizedBool;0.1;SET;tokenDiceNormalized;0.08;1615604513;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.02;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.09;SET;tokenDiceNormalized;0.09;1631021299;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccardNormalized;0.03;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenJaccardNormalized;0.05;SET;cosineTokenNormalizedBool;0.1;1576951322;0.9314186753480351;0.936576980568012;0.9339942669000277;0.9904655075715086;0.9600973423980221;0.9505943365918583;0.9553340233972901;0.9925742574257427;100;308;2703;9948;1406;5376;883;142;9;8;0;0.9899103139013453;0.9910213243546577;0.9466666666666667;0.9403973509933775;0.0;1297;4572;802;155;5;7;0;0.9938042131350682;0.9913473423980222;0.9567901234567902;0.96875;0.0
SET;fiveGramDice;0.01;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenJaccardNormalized;0.05;SET;tokenDiceNormalized;0.11;1391233500;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;PROFILE;cosineTokenNormalizedBool;0.1;SET;cosineTokenNormalizedBool;0.1;1625882478;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.07;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.16;SET;tokenDiceNormalized;0.09;SET;cosineTokenNormalizedNormalizedTermFrequency;0.09;1362466216;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramDice;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.07;SET;tokenDiceNormalized;0.09;1550073818;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDice;0.06;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.15;SET;tokenJaccardNormalized;0.05;SET;tokenJaccardNormalized;0.05;1396731383;0.9302963408923675;0.9302963408923675;0.9302963408923673;0.98989898989899;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;142;9;9;0;0.98989898989899;0.98989898989899;0.9403973509933775;0.9403973509933775;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fourGramJaccard;0.04;PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.14;SET;tokenDiceNormalized;0.08;SET;tokenDiceNormalized;0.1;1455349244;0.9380411919043266;0.9380411919043266;0.9380411919043266;0.9910213243546577;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;883;143;8;8;0;0.9910213243546577;0.9910213243546577;0.9470198675496688;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
